Задача о назначениях в Excel
;1;2;3;4;5;6;
A;8;5;M;7;6;9;
B;6;3;9;1;M;7;
C;5;M;3;6;8;8;
D;9;1;8;M;5;4;
E;1;2;1;M;2;3;
F;M;M;3;5;3;10;
Неизвестные
;;;;;;;=СУММ(B10:G10);1;
;;;;;;;=СУММ(B11:G11);1;
;;;;;;;=СУММ(B12:G12);1;
;;;;;;;=СУММ(B13:G13);1;
;;;;;;;=СУММ(B14:G14);1;
;;;;;;;=СУММ(B15:G15);1;
;=СУММ(B10:B15);=СУММ(C10:C15);=СУММ(D10:D15);=СУММ(E10:E15);=СУММ(F10:F15);=СУММ(G10:G15);
;1;1;1;1;1;1;
Функция цели
;=СУММПРОИЗВ(B3:G8,B10:G15);;;;В формуле СУММПРОИЗВ замените запятую на <точку с запятой>
;
;;;;;1. Мышкой или с помощью клавиатуры перейдите к ячейке B19
;;;;;2. Выполните команду Сервис / Поиск решения
;;;;;3. В диалоговом окне укажите:
;;;;;в поле <Равной>: минимальному значению
;;;;;в поле <изменяя ячейки>: $B$10:$G$15
;;;;;в поле <Ограничения> добавьте заданные ограничения
;;;;;Поле должно иметь следующее содержание:
;;;;;$B$10:$G$15=двоичное
;;;;;$H$10:$H$15=$I$10:$I$15
;;;;;$B$16:$G$16=$B$17:$G$17
;;;;;4. Нажмите на кнопку <Выполнить>
