t;         P1;           Bus
1;         1*;      
2;         1*;      
3;         1*;      
4;         1*;      
5;         1*;      
6;         4*;      
7;         4*;      
8;         4*;      
9;         4*;      
10;         4*;      
11;         8*;      
12;         8*;      
13;         8*;      
14;         8*;      
15;         8*;      
16;         8*;      
17;         8*;      
18;         8*;      
19;         8*;      
20;         8*;      
21;         8*;      
22;         8*;      
23;         2*;      
24;         2*;      
25;         2*;      
26;         2*;      
27;         2*;      
28;         2*;      
29;         2*;      
30;         6*;      
31;         6*;      
32;         6*;      
33;         6*;      
34;         6*;      
35;         6*;      
36;         6*;      
37;         5*;      
38;         5*;      
39;         5*;      
40;         5*;      
41;         5*;      
42;         5*;      
43;         5*;      
44;         5*;      
45;         5*;      
46;         9*;      
47;         9*;      
48;         9*;      
49;         9*;      
50;         9*;      
51;         9*;      
52;         12*;      
53;         12*;      
54;         12*;      
55;         12*;      
56;         3*;      
57;         3*;      
58;         3*;      
59;         3*;      
60;         3*;      
61;         3*;      
62;         3*;      
63;         3*;      
64;         7*;      
65;         7*;      
66;         7*;      
67;         7*;      
68;         7*;      
69;         7*;      
70;         7*;      
71;         7*;      
72;         11*;      
73;         11*;      
74;         11*;      
75;         11*;      
76;         11*;      
77;         11*;      
78;         11*;      
79;         11*;      
80;         11*;      
81;         11*;      
82;         11*;      
83;         11*;      
84;         10*;      
85;         10*;      
86;         10*;      
87;         10*;      
88;         10*;      
89;         10*;      
90;         10*;      
91;         10*;      
92;         13*;      
93;         13*;      
94;         13*;      
95;         13*;      
96;         13*;      
97;         13*;      
98;         13*;      
99;         13*;      
100;         13*;      
101;         13*;      
102;         13*;      
103;         13*;      
104;         13*;      
105;         14*;      
106;         14*;      
107;         14*;      
108;         14*;      
109;         15*;      
110;         15*;      
111;         15*;      
112;         15*;      
113;         15*;      
114;         15*;      
115;         15*;      
116;         15*;      
117;         -*;      
