t;P1;P2;P3;P4;Bus
1;1*;2;3;-;
2;1;2*;3;-;
3;1;2;3*;-;
4;1;2;3;-*;
5;1*;2;3;-;
6;4;2*;3;-;
7;4;2;3*;-;
8;4;6;3;-*;
9;4*;6;7;-;
10;4;6*;7;-;2 -> 5
11;-;6*;7;-;2 -> 5
12;-;6*;7;-;2 -> 5
13;-;6*;7;-;2 -> 5
14;5;6;7*;-;
15;5;10;7;-*;
16;5*;10;7;-;
17;5;10*;7;-;
18;5;10;7*;-;
19;5;10;7;-*;
20;5*;10;7;-;
21;5;10*;7;-;
22;5;10;7*;-;
23;8;10;7;-*;
24;8*;13;11;-;5 -> 9
25;8*;13;11;-;5 -> 9
26;8*;13;11;-;5 -> 9
27;8*;13;11;-;5 -> 9
28;8*;13;11;-;5 -> 9
29;8*;13;11;-;5 -> 9
30;8*;13;-;-;5 -> 9
31;8;13*;-;9;10 -> 14
32;8;13*;-;9;10 -> 14
33;8;13*;-;9;10 -> 14
34;8;13*;-;9;10 -> 14
35;-;13*;-;9;10 -> 14
36;-;13;14*;9;
37;-;-;14;-*;9 -> 12
38;-;-;14;-*;9 -> 12
39;12*;-;14;-;
40;12;-*;-;-;13 -> 15
41;12;-*;-;-;13 -> 15
42;12;-*;-;-;13 -> 15
43;12;-;-*;-;
44;-;-;-;-*;
45;-*;-;-;-;12 -> 15
46;-*;-;-;-;12 -> 15
47;-*;-;-;-;12 -> 15
48;-*;-;-;-;12 -> 15
49;-*;-;-;-;12 -> 15
50;-*;-;-;-;12 -> 15
51;-;-;15;-;
52;-;-;15;-;
53;-;-;15;-;
54;-;-;15;-;
55;-;-;15;-;
56;-;-;15;-;
57;-;-;15;-;
58;-;-;15;-;
